id;registro;nif;denominacion;ambito;seccion;actividades;fecha_constitucion;direccion_nombre_via;direccion_provincia_nombre;direccion_isla_nombre;direccion_municipio_nombre;direccion_codigo_postal;teléfono;dominio_internet;email
77;G1/S1/76-66/GO;G38223343;ASOCIACIÓN CASINO DEL CLUB DE FÚTBOL LEONES DE SAN SEBASTIÁN DE LA GOMERA;INSULAR;Sección 1 - Asociaciones;DEPORTIVAS EN GENERAL;23/03/1944;C/ DEL MEDIO 115;Santa Cruz de Tenerife;LA GOMERA;SAN SEBASTIÁN DE LA GOMERA;38800;"626983677; 616355200";_U;jsvp58@hotmail.com
84;G1/S1/83-66/TF;G38027561;SOCIEDAD CULTURAL Y DE RECREO CASINO REALEJOS;MUNICIPAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;16/11/1965;CALLE ALHÓNDIGA, 5;Santa Cruz de Tenerife;TENERIFE;LOS REALEJOS;38410;"922340708; 630121721";_U;casinorealejos@gmail.com
86;G1/S1/85-66/P;_U;ALIANZA FRANCESA DE S/C DE LA PALMA;INSULAR;Sección 1 - Asociaciones;SOCIO-CULTURALES;_U;PEDRO POGGIO, 8;Santa Cruz de Tenerife;LA PALMA;SANTA CRUZ DE LA PALMA;_U;_U;_U;_U
87;G1/S1/86-66/TF;G38290771;"ASOCIACIÓN ""CASINO DE GRANADILLA - 11 DE JUNIO""";AUTONÓMICO;Sección 1 - Asociaciones;"DEPORTIVAS, RECREATIVAS Y JOVENES; PROFESIONALES DEL ARTE Y LA LITERATURA; SOCIO-CULTURALES";30/07/1965;CALLE SAN ANTONIO, 9;Santa Cruz de Tenerife;TENERIFE;GRANADILLA DE ABONA;38600;629588853;_U;requena.tfe@gmail.com
89;G1/S1/88-66/TF;G38014676;CASINO DE TENERIFE;INSULAR;Sección 1 - Asociaciones;SOCIO-CULTURALES;27/12/1965;PLAZA DE CANDELARIA, 12;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38002;_U;_U;administracion@rctfe.com
95;G1/S1/94-67/TF;V38084133;ASOCIACIÓN CENTRO DE INICIATIVAS Y TURISMO DE PUERTO DE LA CRUZ;MUNICIPAL;Sección 1 - Asociaciones;TURISMO Y HOSTELERIA;28/12/1965;C/ PUERTO VIEJO, Nº 13;Santa Cruz de Tenerife;TENERIFE;PUERTO DE LA CRUZ;_U;655388685, 922388777;_U;"elizabethicod@gmail.com; info@citpuerto.com"
97;G1/S1/96-67/GO;G38250064;CIRCULO CULTURAL, RECREATIVO Y DEPORTIVO JUNONIA;AUTONÓMICO;Sección 1 - Asociaciones;"DEPORTIVAS EN GENERAL; SOCIO-CULTURALES";18/12/1943;C/ REAL Nº 51 (APARTADO 100);Santa Cruz de Tenerife;LA GOMERA;SAN SEBASTIÁN DE LA GOMERA;38800;922870258 646862375;_U;_U
103;G1/S1/102-67/GO;_U;CLUB NÁUTICO DE LA GOMERA;INSULAR;Sección 1 - Asociaciones;DEPORTIVAS EN GENERAL;15/03/1967;CASTILLO BUEN PASO;Santa Cruz de Tenerife;LA GOMERA;SAN SEBASTIÁN DE LA GOMERA;_U;"922871053; 922141241";_U;"nauticogomera@gmail.com; jaime@nodaasesores.es"
109;G1/S1/108-68/TF;_U;ASOCIACIÓN CENTRO DE INICIATIVAS  Y TURISMO DE GARACHICO (C.I.T.);MUNICIPAL;Sección 1 - Asociaciones;TURISMO Y HOSTELERIA;_U;ESTEBAN DE PONTE N. 5;Santa Cruz de Tenerife;TENERIFE;GARACHICO;38450;_U;_U;citgara@hotmail.com
114;G1/S1/113-68/TF;_U;ORQUESTA DE CÁMARA DE CANARIAS;AUTONÓMICO;Sección 1 - Asociaciones;SOCIO-CULTURALES;28/12/1965;CALLE EL MOLINO, 6 - (CUEVAS BLANCAS);Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38111;629217393;_U;asociacion@orquestadecamaradecanarias.com, patricioviolin@gmail.com
134;G1/S1/133-69/TF;_U;AMPA INSTITUTO N. BACHILLERATO GUIMAR MENCEY ACAYMO;LOCAL;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;09/06/1969;POETA ARISTIDES HDEZ. MORA, 3;Santa Cruz de Tenerife;TENERIFE;GÜÍMAR;38500;_U;_U;_U
142;G1/S1/141-69/TF;_U;INSTITUTO B. LUCAS MARTIN ESPINO;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;05/12/1969;EDIF. INSTITUTO (C/ANTONIO PÉREZ DÍAS Nº 22);Santa Cruz de Tenerife;TENERIFE;ICOD DE LOS VINOS;_U;_U;_U;_U
144;G1/S1/143-70/TF;_U;ASOCIACIÓN DE PADRES Y MADRES DE ALUMNOS DEL COLEGIO SALESIANO SAN ISIDRO LABRADOR DE LA OROTAVA (SANTA CRUZ DE TENERIFE);MUNICIPAL;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;07/01/1990;FRANCHY ALFARO, 5;Santa Cruz de Tenerife;TENERIFE;LA OROTAVA;38300;609988909;_U;MARIOMAES@TERRA.ES
149;G1/S1/148-70/TF;38242210;ASOCIACIÓN JUVENIL JÓVENES DEL PILAR;PROVINCIAL;Sección 1 - Asociaciones;JÓVENES;03/07/1970;SAN LUCAS, 43, BAJO. S/C DE TENERIFE;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38002;617551717;_U;JOVENESDELPILAR@HOTMAIL.COM
160;G1/S1/159-71/TF;_U;COLEGIO E.G.B. SAN BARTOLOME;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;03/05/1971;C/ HURONCILLO N 15 .LA FUENTE    -   TEJINA;Santa Cruz de Tenerife;TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;38260;922541015;_U;amapasanbartolome@gmail.com
165;G1/S1/164-71/TF;_U;SOCIEDAD CANARIA DE PATOLOGIA DIGESTIVA;AUTONÓMICO;Sección 1 - Asociaciones;PROFESIONALES DE LA SANIDAD;14/12/1978;COLEGIO DE MEDICOS.C/ HORACIO NELSON , 7;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38009;609203861;_U;_U
168;G1/S1/167-71/TF;_U;ASOCIACIÓN DE MADRES Y PADRES DE ALUMNOS Y ALUMNAS IES VILLALBA HERVÁS;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;06/09/1971;C/ COMUNIDAD IBEROAMERICANA;Santa Cruz de Tenerife;TENERIFE;LA OROTAVA;38300;_U;_U;ampaiesvillalbahervas@gmail.com
170;G1/S1/169-71/TF;_U;A.M.P.A. TENA ARTIGAS DEL C.E.I.P. TENA ARTIGAS;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;22/12/1988;Barriada García Escamez - Colegio Tene Artigas;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38009;_U;_U;_U
174;G1/S1/173-72/TF;G38072013;COLEGIO LA ASUNCION;AUTONÓMICO;Sección 1 - Asociaciones;DE EX-ALUMNOS;04/04/1972;COLEGIO DE LA ASUNCION, TEGUESTE (CARRETERA LA LAGUNA- PUNTA HIDALGO 89);Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38280;922541359;_U;_U
176;G1/S1/175-72/TF;_U;ASOCIACIÓN DE MADRES Y PADRES DE ALUMNOS Y ALUMNAS IES VIERA Y CLAVIJO;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;23/01/1972;AVENIDA LORA Y TAMAYO N.4.;Santa Cruz de Tenerife;TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;38205;_U;_U;_U
177;G1/S1/176-72/TF;_U;ASOCIACIÓN CRISTIANA DE PADRES Y MADRES LA SALLE-LA LAGUNA;MUNICIPAL;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;28/04/1972;Avenida La Salle, 7;Santa Cruz de Tenerife;TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;38207;922261611;_U;_U
178;G1/S1/177-72/TF;G38261384;SOCIEDAD CANARIA DE OFTALMOLOGIA;AUTONÓMICO;Sección 1 - Asociaciones;PROFESIONALES DE LA SANIDAD;04/03/1972;C/ Anselmo J. Benítez, 6 portal D 3º D;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38004;922602272/629589690;_U;secretaria@sociedadcanariadeoftalmologia.org
184;G1/S1/183-73/TF;_U;AMPA DE ALUMNOS/AS CP LAS DELICIAS DEL C.I.P. LAS DELICIAS;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;18/02/1973;C/PEDRO DOBLADO CLAVERIE N 10;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38010;_U;_U;_U
187;G1/S1/186-73/P;_U;SECTOR SUR COLEGIO E.G.B. SECTOR SUR S/C PALMA;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;07/02/1973;C/. FERNANDEZ FERRAZ, 2;Santa Cruz de Tenerife;LA PALMA;SANTA CRUZ DE LA PALMA;_U;_U;_U;_U
188;G1/S1/187-73/TF;_U;COMUNIDAD CRISTIANA DE VIUDAS NTRA. SRA. DE LA CANDELARIA;INSULAR;Sección 1 - Asociaciones;DE BASE RELIGIOSA;17/05/1973;PORLIER, 50 - 1 A.;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38004;922646497;_U;_U
191;G1/S1/190-73/TF;_U;REAL AUTOMOVIL CLUB DE TENERIFE;AUTONÓMICO;Sección 1 - Asociaciones;CLUBES DE AUTOMOVILISTAS, MOTORISTAS Y OTROS;02/10/1972;AVDA. DE ANAGA - EDIF. BAHIA CLUB(C/GALCERAN N 9.EDIF DRAGO);Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38002;670839358;_U;mhcalzadilla100@gmail.com
194;G1/S1/193-73/TF;_U;COLEGIO N. MIXTO HERMANOS ESTEVANEZ MURPHY;LOCAL;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;17/09/1973;EDIF. COLEGIO - SALUD ALTO (SAN JUAN DE LA RAMBLA S/N);Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;_U;_U;_U;_U
198;G1/S1/197-73/P;_U;ASOCIACIÓN DE PADRES DE ALUMNOS DEL CEIP JOSÉ PÉREZ VIDAL;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;_U;C/ ALVARO RODRIGUEZ LOPEZ, 35;Santa Cruz de Tenerife;LA PALMA;SANTA CRUZ DE LA PALMA;38700;_U;_U;_U
202;G1/S1/201-74/TF;_U;SOCIEDAD RECREATIVA HIERRO;MUNICIPAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;02/03/1974;PASAJE DAUTE Nº 3;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38009;922215091;_U;_U
204;G1/S1/203-74/TF;G38342903;AMPA MARÍA ROSA ALONSO DEL COLEGIO PUBLICO MARIA ROSA ALONSO;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;27/05/1970;C/ PÉREZ REYES 37 . TACORONTE;Santa Cruz de Tenerife;TENERIFE;TACORONTE;_U;922560432, 691348326;_U;"sheilavj@gmail.com; ampa.mariarosaalonso@gmail.com"
207;G1/S1/206-74/P;G38049920;ASOCIACIÓN  APA  XXV AÑOS DE PAZ DE LA CUESTA;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;_U;LA CUESTA - PARTE BAJA, 53;Santa Cruz de Tenerife;LA PALMA;BARLOVENTO;38726;649838797;_U;antoniamariacandelariodiaz@hotmail.com
210;G1/S1/209-74/TF;G38026209;ASOCIACIÓN CLUB UCANCA;AUTONÓMICO;Sección 1 - Asociaciones;JÓVENES;_U;ENRIQUE WOLFSON Nº 21;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38006;"922286455; 651 175 843";_U;"ucanca@ucanca.com; ucancaclub@gmail.com"
214;G1/S1/213-74/TF;_U;A.M.P.A. C.P. ALMACIGO;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;19/12/1974;AVDA. LA CONSTITUCION, 6;Santa Cruz de Tenerife;TENERIFE;GUÍA DE ISORA;38680;_U;_U;_U
215;G1/S1/214-74/P;_U;ASOCIACION DE PADRES DE ALUMNOS. ANSELMO PEREZ  DE BRITO;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;10/12/1974;C/ EL GALEON S/N C.P. ANSELMO PEREZ DE BRITO;Santa Cruz de Tenerife;LA PALMA;SANTA CRUZ DE LA PALMA;_U;_U;_U;_U
216;G1/S1/215-74/TF;_U;CENTRO DE INICIATIVAS TURÍSTICAS DE CANDELARIA - CALETILLAS;LOCAL;Sección 1 - Asociaciones;TURISMO Y HOSTELERIA;28/12/1974;AVDA. CANDELARIA, 173 - LAS CALETILLAS;Santa Cruz de Tenerife;TENERIFE;CANDELARIA;38520;680788704;_U;info@citcandelaria.com
217;G1/S1/216-75/TF;G38057535;COLEGIO PÚBLICO MIXTO RAMON Y CAJAL;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;19/01/1975;C/ Garaboto, 12;Santa Cruz de Tenerife;TENERIFE;LA OROTAVA;38300;922331920;_U;ampaceipramonycajal@gmail.com
218;G1/S1/217-75/TF;_U;A.M.P.A. PARQUE DE PAPEL DEL CENTRO C.E.I.P. LOS ANDENES;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;12/02/1975;AVDA. LOS MAJUELOS S/N;Santa Cruz de Tenerife;TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;38108;_U;_U;_U
225;G1/S1/224-75/TF;_U;INSTITUTO NACIONAL BACHILLERATO MIXTO DE GUIMAR;LOCAL;Sección 1 - Asociaciones;DE EX-ALUMNOS;_U;EDIF. DEL CENTRO;Santa Cruz de Tenerife;TENERIFE;GÜÍMAR;_U;_U;_U;_U
234;G1/S1/233-76/P;38230710;SAN JUAN BAUTISTA DE LOS GALGUITOS;LOCAL;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;01/12/1975;PAGO LA GALGA (C/ GARACHICO Nº 72, LOS GALGUITOS);Santa Cruz de Tenerife;LA PALMA;SAN ANDRÉS Y SAUCES;38729;696183215;_U;ASOCIACIONSJBLG@GMAIL.COM
237;G1/S1/236-76/TF;_U;ASOCIACION DE PADRES DE ALUMNAS Y ALUMNOS ANTONIO DEL VALLE MENENDEZ;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;29/07/1974;C/ EL LAMERO N 1;Santa Cruz de Tenerife;TENERIFE;GARACHICO;38450;637 417 719;_U;jda.gestiones@gmail.com
242;G1/S1/241-76/TF;V38422713;LOS JOROPEROS DE LA LAGUNA;AUTONÓMICO;Sección 1 - Asociaciones;"MUSICALES; SOCIO-CULTURALES";14/05/1966;CALLE NUESTRA SEÑORA DE LA TERNURA - NAVE 4 - (LOS MAJUELOS);Santa Cruz de Tenerife;TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;38108;686641678;_U;contrataciones@joroperos.com
244;G1/S1/243-76/TF;_U;PADRES Y AMIGOS DEL SORDO (A.S.P.A.S.);PROVINCIAL;Sección 1 - Asociaciones;SOBRE ANIMALES Y PLANTAS;27/05/1976;AVDA. LOS REYES CATOLICOS N.28-1 VDA.2;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;_U;_U;_U;_U
257;G1/S1/256-76/TF;_U;DE VECINOS SECTOR DELICIAS 338;AUTONÓMICO;Sección 1 - Asociaciones;VECINOS Y COMERCIANTES;04/07/1976;PLAZA AñAZA - LAS DELICIAS;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38010;619290440;_U;_U
264;G1/S1/263-76/TF;_U;COLEGIO NACIONAL AGUA GARCIA;LOCAL;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;_U;EDIF. CENTRO - AGUA GARCIA;Santa Cruz de Tenerife;TENERIFE;TACORONTE;_U;_U;_U;_U
265;G1/S1/264-76/TF;G38303012;DE VECINOS LOS CAMPITOS;MUNICIPAL;Sección 1 - Asociaciones;VECINOS Y COMERCIANTES;07/10/1976;CARRET. GRAL. S/N  - LOS CAMPITOS (C/LOMO EL SERERILLO);Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38170;922289475;_U;_U
266;G1/S1/265-76/TF;_U;PROPIETARIOS ROMANTICA II;MUNICIPAL;Sección 1 - Asociaciones;ASOCIACIONES O COMUNIDADES DE PROPIETARIOS;03/09/1976;C/ DRAGO OFICINA Nº3;Santa Cruz de Tenerife;TENERIFE;LOS REALEJOS;38418;_U;_U;_U
288;G1/S1/287-77/TF;G38259156;AA. VV. LOS PINOS;MUNICIPAL;Sección 1 - Asociaciones;VECINOS Y COMERCIANTES;23/02/1977;BARRIO LOS PINOS (C/FRANCISCO PADRÓN PÉREZ Nº 6);Santa Cruz de Tenerife;TENERIFE;LA OROTAVA;38300;_U;_U;asociaciondevecinoslospinos@gmail.com
290;G1/S1/289-77/TF;G38305405;C.E.I.P. ERNESTO CASTRO FARIÑA;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;_U;LOS NARANJEROS, 27 (CRTA. GENERAL Nº 289);Santa Cruz de Tenerife;TENERIFE;TACORONTE;_U;_U;_U;ampacolegiocastro@gmail.com
295;G1/S1/294-77/TF;_U;A.M.P.A. C.P.TEOFILO PEREZ;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;25/02/1977;C/. EL CARMEN;Santa Cruz de Tenerife;TENERIFE;TEGUESTE;38280;_U;_U;pymeauxfiscal@gmail.com
296;G1/S1/295-77/TF;G38205126;"ASOCIACIÓN DE VECINAS Y VECINOS ""RUYMAN""";MUNICIPAL;Sección 1 - Asociaciones;VECINOS Y COMERCIANTES;24/02/1977;C/ EduardoWesterdahl, 19 -  Bº La Salud;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38008;922228496, 605034640;_U;enriqueplasen@gmail.com
298;G1/S1/297-77/TF;_U;ASOCIACIÓN DE VECINOS BENEHARO;MUNICIPAL;Sección 1 - Asociaciones;VECINOS Y COMERCIANTES;17/03/1977;TERCER DISTRITO LA MONTAñA Y EL JARDIN;Santa Cruz de Tenerife;TENERIFE;LOS REALEJOS;38419;922355397;_U;_U
310;G1/S1/309-77/TF;_U;SOLIDARIDAD CANARIA;MUNICIPAL;Sección 1 - Asociaciones;SOCIO-CULTURALES;06/05/1977;LUCAS VEGA, 41 - 3º D;Santa Cruz de Tenerife;TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;38202;_U;_U;_U
320;G1/S1/319-75/TF;_U;ASOCIACIÓN DE PADRES Y MADRES DEL IES TEOBALDO POWER;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;_U;EDIFICIO DEL INSTITUTO - PLAZA DE LOS CANTOS CANARIOS;Santa Cruz de Tenerife;TENERIFE;SANTA CRUZ DE TENERIFE;38007;922229148;_U;ampa.teobaldopower@gmail.com
321;G1/S1/320-77/TF;G38070348;A.M.P.A. C.P. PRACTICAS ANEJA;INSULAR;Sección 1 - Asociaciones;PADRES DE ALUMNOS, AMIGOS Y PROTECTORES DE CENTROS ESCOLARES;25/05/1977;HERACLIO SANCHEZ, 33;Santa Cruz de Tenerife;TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;38204;"632830170; 679375042";_U;"afaceipaneja@gmail.com; veronicairina@gmail.com; nairagt83@gmail.com"
323;G1/S1/322-77/TF;G38297826;AGRUPACION MUSICAL LA VICTORIA DE ACENTEJO;PROVINCIAL;Sección 1 - Asociaciones;MUSICALES;20/05/1977;PLAZA DEL PINO;Santa Cruz de Tenerife;TENERIFE;LA VICTORIA DE ACENTEJO;_U;922581582;_U;amlavictoriadeacentejo@gmail.com
