registro;nif;nombre;situacion;finalidad;direccion_nombre_via;direccion_municipio_nombre;direccion_provincia_nombre;direccion_isla_nombre;pagina_web;email
243;G38901484;FUNDACION CANARIA MEDIOAMBIENTAL LA TIRAJALA;Extinguida;SOCIALES;Avenida Avda. Hipólito González 33, 38440, término municipal de La Guancha, en Santa Cruz de Tenerife.;La Guancha;Santa Cruz de Tenerife;Tenerife;-;macuc@msn.com
360;G76776624;FUNDACIÓN PROYECTO PERFECTO,FUNDACIÓN CANARIA;Registrada con actividad;CULTURALES;Avenida Avenida Arenita, nº 73, Urbanización Paraíso Palm Mar 13 vivienda E12;Arona;Santa Cruz de Tenerife;Tenerife;https://perfectprojectfoundation.com/es/;_U
219;G38835906;FUNDACION CANARIA PARA LA SEGURIDAD ALIMENTARIA, EULOGIO HERNANDEZ;Registrada con actividad;OTRAS;Calle C/. Aguere, nº 2 - A, Edificio Prisma local bajo;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;https://faccanet.com/;gerencia@faccanet.org        facca@faccanet.org
39;G38285540;FUNDACION CANARIA PARA LA RECUPERACION DEL PATRIMONIO DE LA VILLA DE GARAFIA;Registrada con actividad;CULTURALES;Calle Los Barreros s/n, Las Tricias;Garafía;Santa Cruz de Tenerife;La Palma;https://www.garafia.es/fundacion-para-la-recuperacion-del-patrimonio-de-la-villa-de-garafia/;abilioreyesm@hotmail.es
276;G38983748;FUNDACIÓN CANARIA SANTA CRUZ SOSTENIBLE;Registrada con actividad;MEDIOAMBIENTALES;Calle Avda. de Madrid, s/n, Parque La Granja---C/ Suárez Guerra 19 Oficina I 38003-Sta. Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;WWW.santacruzsostenible.com;administracion@santacruzsostenible.com      sgarmed@santacruzdetenerife.es
44;G35073303;FUNDACIÓN CANARIA UNIVERSITARIA DE LAS PALMAS;Registrada con actividad;INVESTIGACIÓN;Calle C/ Juan de Quesada número 2;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;www.fulp.es;info@fulp.es
230;G38826947;AGENCIA INSULAR DE ENERGIA DE TENERIFE, FUNDACION CANARIA;Registrada con actividad;OTRAS;Polígono Polígono Industrial de Granadilla, s/n;Granadilla de Abona;Santa Cruz de Tenerife;Tenerife;https://www.obidic.es/agentes/apoyo-a-la-i-d-i/agentes-de-apoyo-intermediacion-y-promocion-publicas?view=article&id=135:agencia-insular-de-energia-de-tenerife-aiet&catid=20;juridico@iter.es
354;G76305184;FUNDACIÓN CANARIA TERAPIAS MARINAS DE MOGÁN;Registrada con actividad;SOCIALES;Calle C/ Alcalde Francisco Hernández González, número 20,;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
218;3;FUNDACIÓN CANARIA PARA LA INSERCIÓN SOCIOLABORAL DE PERSONAS DISCAPACITADAS;Extinguida;BENÉFICAS;Calle C/. El Escorial, nº 7;Santa Lucía;Las Palmas;Gran Canaria;-;_U
251;_U;"FUNDACION CANARIA DE FORMACION Y EMPLEO ""FOREM CANARIAS"" (CONCURSO)";En trámites de extinción;LABORAL;Calle C/. Senador Castillo Olivares, nº 14 - 1º  -  35003 - Las Palmas de G.C.C/. Méndez Núñez, nº 84, 12ª planta     -  38001- Santa Cruz de Tenerife;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
225;G38837589;FUNDACION CANARIA CARLOS SALVADOR Y BEATRIZ;Registrada con actividad;CULTURALES;Calle El Sorondongo, nº 22;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;http://www.carlossalvadorybeatrizfundacion.com/;fundacioncarlosybeatriz@gmail.com     info@carlossalvadorybeatrizfundacion.com
210;1;"FUNDACIÓN  CANARIA  ""TOMAS  MENA  Y  MESA""";Sin actividad;INVESTIGACIÓN;Calle C/. Juan Padrón,  nº  6 - 1º;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
349;G76739069;FUNDACIÓN CANARIA CARRERA POR LA VIDA / WALK FOR LIFE.-;Registrada con actividad;BENÉFICAS;Calle C/ Beneharo s/n, Barrio de Las Nieves, Municipio de Adeje. Edificio Escuela de Seguridad y Convivencia.;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;brigittegypen@hotmail.com
154;G35686724;FUNDACION CANARIA JUAN BRITO;Registrada con actividad;CULTURALES;Carretera Carretera Uga Teguise, número 2, c.;Teguise;Las Palmas;Lanzarote;https://fundacionjuanbrito.es/;_U
153;_U;"FUNDACION CANARIA ""FEMAC""";Sin actividad;BENÉFICAS;Calle C/. León y Castillo, nº  51 - 6º  derecha;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
54;G38315230;"FUNDACIÓN CANARIA DISCAPACIDAD INTELECTUAL TENERIFE ""FUNDITE""";Registrada con actividad;CULTURALES;Calle La Lomita, 6, Centro Ocupacional Valle Colino, Finca España, La Cuesta. /c/JUAN BAUTISTA POGGIO Nº 13 FINCA DE ESPAÑA;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;https://fundite.es/;infofundite@gmail.com
204;G35830058;"FUNDACION CANARIA  ""SEWA""";Registrada con actividad;CULTURALES;Calle C/. Pérez Muñoz, nº 45 - 1º A;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;fundacionsewa@impmiragecom
107;_U;"FUNDACION CANARIA ""ITER""";Extinguida por fusión;CIENTÍFICAS;Polígono Polígono Industrial de Granadilla, s/n.;Granadilla de Abona;Santa Cruz de Tenerife;Tenerife;-;_U
270;G76034289;FUNDACIÓN CANARIA JOSE CLAVIJO Y FAJARDO;Registrada con actividad;CULTURALES;Calle C/. La Hoya, nº 3 35520  - HARIA (LANZAROTE);Haría;Las Palmas;Lanzarote;-;fundacionclavijoyfajardo@gmail.com
287;G38987426;FUNDACIÓN CANARIA PARA EL RECICLAJE Y EL DESARROLLO SOSTENIBLE;Registrada con actividad;MEDIOAMBIENTALES;Calle C/ Aguere, nº 11, Edificio Torres de Cristal, T1 Bajo izquierda;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;https://fundacioncanariasrecicla.org/;dgonzalez@ewaste.es  PATRONATO@FUNDACIONCANARIASRECICLA.ORG
163;_U;FUNDACIÓN CANARIA PARA LA AYUDA, EL DESARROLLO Y LA INVESTIGACIÓN EDUCATIVA.( ABSORBIDA POR FUSIÓN POR LA FUNDACIÓN BENÉFICO nº 009 CULTURAL CANARIA CON FECHA 9 DE NOVIEMBRE DE 2012).;Extinguida por fusión;EDUCATIVAS;Carretera Carretera del Fondillo, s/n.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
291;G76117274;FUNDACIÓN CANARIA ISBS;Registrada con actividad;EDUCATIVAS;Calle C/ Bravo Murillo nº 38;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://focan.es/becas-para-alumnos-de-formacion-profesional/fundacion-isbs/;ialeman@institutofocan.es
382;G72430895;FUNDACIÓN CANARIA CARLOS GUILLERMO DOMÍNGUEZ HERNÁNDEZ;Registrada con actividad;CULTURALES;Calle calle Sorolla,;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;fundacioncanariacgdh@gmail.com
306;G76611821;Fundación Canaria de la Factoría de la Innovación Turística FIT Canarias;Extinguida;OTRAS;Calle c/ Las Jarcias 4, El Galeón, Centro de Desarrollo Turístico Costa Adeje (CDTCA), Adeje. TENERIFE.;Adeje;Santa Cruz de Tenerife;Tenerife;-;info@fitcanarias.com
226;_U;FUNDACIÓN CANARIA PARA LA PREVENCIÓN E INVESTIGACIÓN DE LAS DROGODEPENDENCIAS (PID);Extinguida;SOCIALES;Calle C/. Alfonso XIII, nº 4;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
281;G76507235;FUNDACION CANARIA CENTRO DE ESTUDIOS CANARIOS SIGLO XXI;Registrada con actividad;EDUCATIVAS;Calle C/ Galcerán, nº 7 Edificio Drago.;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;https://coalicioncanaria.org/fundaciones/;fundacion.canariassiglo21@gmail.com
221;G35831445;FUNDACION CANARIA ANTONIO BETANCOR;Propuesta de extinción;SOCIALES;Calle C/. Alcalde Francisco Hernández González, nº 20;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
156;_U;FUNDACION CANARIA PARA LA OPTIMIZACION DE LOS RECURSOS SOCIALES (FUNCANORS);Sin actividad;OTRAS;Parque San Benito, Fase II, nº 9, ático;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;_U
88;_U;"FUNDACION ""WILLY FLEITAS""";Sin actividad;_U;Calle C/ García Morato, nº 34;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
32;_U;"FUNDACION CANARIA  CENTRO DE INVESTIGACION MATEMATICA DE CANARIAS ""CIMAC""";Sin actividad;INVESTIGACIÓN;Facultad de Matematicas de la Universidad de La Laguna,  La Laguna,Tenerife.;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;_U
278;369868;FUNDACION CANARIA DE INTEGRACIÓN SOCIAL FUNCAIS;Sin actividad;SOCIALES;Plaza Ana Bautista, nº 2;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;_U
405;G56492770;FUNDACIÓN CANARIA TOMÁS DE BERLANGA;Registrada con actividad;MEDIOAMBIENTALES;Camino Calle Camino Palomares, número 118, Los Llanos de Aridane (CP 38760), La Palma.;Los Llanos de Aridane;Santa Cruz de Tenerife;La Palma;https://www.tomasdeberlanga.edu.ec/;lduque@europlatano.net
235;G35889468;FUNDACION TANGIL CANARIA;Registrada con actividad;INVESTIGACIÓN;Urbanización el Sebadal, C/. Corrientes, nº 9 - 2º;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
40;G35293349;FUNDACIÓN CANARIA JUAN NEGRÍN;Registrada con actividad;INVESTIGACIÓN;Calle C/ Reyes Católicos nº 30;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://fundacionjuannegrin.es/;fundacionjuannegrin@gmail.com
113;22222;FUNDACION CANARIA  DE SALUD Y SANIDAD DE TENERIFE;Extinguida;SOCIALES;Cabildo Insular de TenerifePlaza de España, s/n;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
171;_U;FUNDACION CANARIA PARA LA CALIDAD MEDIOAMBIENTAL;Sin actividad;MEDIOAMBIENTALES;Hotel Tigaiga, Parque del Taoro;Puerto de La Cruz;Santa Cruz de Tenerife;Tenerife;-;_U
246;6;FUNDACIÓN CANARIA MIRADOR DE IFARA;Sin actividad;SOCIALES;Calle C/. Doctor García Estrada, nº 1, Urbanización La Ninfa;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
159;G35698513;"FUNDACION CANARIA ""UNION DEPORTIVA LAS PALMAS""";Registrada con actividad;EDUCATIVAS;Calle C/. Pio XII, nº 29 (HA CAMBIADO);Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.udlaspalmas.es/fundacion;_U
53;G38294443;FUNDACION CANARIA PRO-MENCEYES GUANCHES PLAZA DE LA PATRONA DE CANARIAS;Sin actividad;CULTURALES;Avenida Avda. del Generalísimo (Oficina de Promotora Punta Larga, S.A.);Candelaria;Santa Cruz de Tenerife;Tenerife;-;_U
75;_U;FUNDACION LOS PALMITOS                                                                  (CANCELADA Y TRASLADO EXPEDIENTE AL Mº DE MEDIO AMBIENTE);Trasladada;_U;Chalet Roca Negra, Urbanización Monte León;San Bartolomé de Tirajana;Las Palmas;Gran Canaria;-;_U
217;G35868702;FUNDACIÓN CANARIA PARA EL FOMENTO DEL TRANSPORTE ESPECIAL ADAPTADO;Registrada con actividad;LABORAL;Calle C/. Bravo Murillo, nº 23;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://fundacionpmr.es/;juancarlos@fundacionpmr.es    info@fundacionpmr.es
420;G19345180;FUNDACIÓN CANARIA CÁTEDRA JUAN MIGUEL SANJUAN;Registrada con actividad;SOCIALES;Calle Alcalde Díaz Navarro, número 31.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
213;G35819473;"FUNDACIÓN CANARIA ""AMURGA MASPALOMAS""";Registrada con actividad;CULTURALES;Avenida Avda. de Tirajana, nº 39 (otro domicilio de notificaciones: C/León y Castillo 82 1º piso 35004 LPGC);San Bartolomé de Tirajana;Las Palmas;Gran Canaria;https://www.fundacionamurga.com/aviso-legal;_U
255;_U;FUNDACIÓN CANARIA EL PATIO;Liquidada;_U;Calle C/. Murga, nº 8 (desconocido) Otro domicilio: C/ Olof  Palme, nº 11, piso 3º, 35010- Las Palmas G.C.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;leopoldo@idecnet.com
320;G76211713;FUNDACIÓN CANARIA UNIVERSITARIA DEL ATLÁNTICO MEDIO;Registrada con actividad;INVESTIGACIÓN;Carretera Carretera Al Fondillo S/N 35017 -  LAS PALMAS DE G.C.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;emartin@atriumasesores.com    vgarcias@unidam.es
289;G76520048;FUNDACION CANARIA PARA EL DESARROLLO DE LA UNIVERSIDAD DE LA LAGUNA (FUNDESULL);Sin actividad;EDUCATIVAS;"Convento de Santo Domingo; Plaza de Santo  Domingo s/n, San Cristóbal de la Laguna";San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;_U
86;G35463215;"FUNDACION CANARIA ""VOLUNTAS""";Sin actividad;EDUCATIVAS;Calle C/ Pepe García Fajarado, nº 11, Schamann;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;jhernanc@ull.edu.es
58;323232;FUNDACION CANARIA PARA EL INSTITUTO TRICONTINENTAL DE LA DEMOCRACIA PARLAMENTARIA Y LOS DERECHOS HUMANOS;Extinguida;_U;Calle C/ Teobaldo Power, num. 7 -Sede del Parlamento de Canarias;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
65;011;FUNDACION CANARIA PARA LA FORMACION Y EMPLEO;Sin actividad;LABORAL;Paseo Paseo de Cayetano de Lugo, nº 31;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
33;G38267423;FUNDACIÓN CENTRO DE INFORMACIÓN Y ECONOMÍA DE LA CONSTRUCCIÓN (CIEC);Registrada con actividad;LABORAL;Calle C/ San Vicente Ferrer nº 81 Bajo  y C/ Carvajal 3 bajo izq.35004LPGC;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;https://www.fundacionciec.es/;administracion@fundacionciec.org
319;G76637453;FUNDACIÓN CANARIA JOSÉ LUIS MONTESINOS;Registrada con actividad;FOMENTO DEL DEPORTE;Calle Edificio Multidisciplinar, c/ Pérez Zamora, nº 43, Planta 1;Puerto de La Cruz;Santa Cruz de Tenerife;Tenerife;-;lalomartinbahia@hotmail.com
308;G76593896;Fundación Canaria EIDHER;Sin actividad;INVESTIGACIÓN;Urbanización Las Cruces, nº 34, Güimar, 38500-Tenerife;Güímar;Santa Cruz de Tenerife;Tenerife;-;_U
11;_U;FUNDACION CARNAVAL DE LAS PALMAS;Sin actividad;CULTURALES;Calle C/ Leon y Castillo, 288 - 1.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
229;G35882174;FUNDACIÓN CANARIA SANTA CATALINA;Registrada con actividad;BENÉFICAS;Calle C/. Doctor Verneau, nº 1, Edicicio San Marcos, oficina 311;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;msantana@invercast.com
2;G35103431;RADIO ECCA, FUNDACIÓN CANARIA;Registrada con actividad;CULTURALES;Avenida Avda. de Escaleritas, nº 64;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;http://www3.radioecca.org/;info@radioecca.org
348;G76732692;FUNDACIÓN CANARIA AÑAZO NOVA;Registrada con actividad;CULTURALES;Calle  Calle Santiago, n° 5, 1º izquierda- de 38002-Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;fundacionaova@gmail.com
164;_U;FUNDACION CANARIA DE CULTURA Y OCIO DE TELDE;Sin actividad;CULTURALES;Calle C/. Secretario Guedes Alemán, nº 18;Telde;Las Palmas;Gran Canaria;-;_U
370;G76812783;FUNDACIÓN CANARIA AL SERVICIO DE LOS  MAYORES Y LA DIVERSIDAD FUNCIONAL DIVINA PROVIDENCIA;Registrada con actividad;SOCIALES;Calle Calle La Resbala, nº 38, (Hogar Jesús de Nazaret);La Matanza de Acentejo;Santa Cruz de Tenerife;Tenerife;-;benito.perdomo@biplaza.es
60;_U;FUNDACION CIUDAD DE ARUCAS;Sin actividad;CULTURALES;Calle C/ Leon y Castillo, nº 6;Arucas;Las Palmas;Gran Canaria;-;_U
206;_U;"FUNDACION VENEZOLANA  ""PUROTALENTO""";Sin actividad;CULTURALES;Calle C/. Moralidad, nº 7 - B, Urbanización La Hornera;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;_U
167;G35684661;"FUNDACIÓN CANARIA  ""AGORA""";Registrada con actividad;EDUCATIVAS;Calle C / Victor Hugo, 36, bajo;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://fundacionagora.com/;administracion@bernardomelian.com
286;G76048511;FUNDACION CANARIA YAKAAR;Registrada con actividad;BENÉFICAS;Calle c/ Alfonso Chiscano Díaz, nº 10, portal 4, 3 A, 35010-Las Palmas G.C.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;info@fundacionyakaar.es
322;G76218205;FUNDACIÓN ACUORUM IBEROAMERICANA CANARIA DE AGUA;Registrada con actividad;MEDIOAMBIENTALES;Calle C/ León y Castillo, nº 35,6º-A, 35005-Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.acuorum.com/;gerencia@acuorum.com
249;G35963875;FUNDACIÓN CANARIA GLOBAL INICIATIVAS SOCIALES;Registrada con actividad;LABORAL;Calle C/. Viera y Clavijo, nº 34 - 36, 5ª planta;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://globaliniciativassociales.org/;luis.alvarez@praxisae.com
383;G06768717;FUNDACIÓN CANARIA MAMÁ ÁFRICA;Registrada con actividad;SOCIALES;Avenida AVDA. MENCEY,;Mogán;Las Palmas;Gran Canaria;-;_U
237;G35907104;"FUNDACIÓN CANARIA ""SATOCAN- JUNGEL SANJUAN""";Registrada con actividad;EDUCATIVAS;Calle C/ Concejal García Feo, nº 30 Alcalde Diaz Saavedra Navarro nº 31;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
267;G35962901;FUNDACION CANARIA DE TRAUMATOLOGIA Y CIRUGIA ORTOPEDICA COTCAN;Sin actividad;BENÉFICAS;Calle C/. León y Castillo, nº 44;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
98;G35470970;"FUNDACION ""SECUNDINO DELGADO""";Extinguida;CULTURALES;Avenida Avd. Mendez Núñez, 27 entresuelo,;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
372;G76370170;FUNDACIÓN CANARIA LINEAS ROMERO;Registrada con actividad;EDUCATIVAS;Avenida Virgen del Mar, nº 119, La Graciosa, Lanzarote, Las Palmas;Teguise;Las Palmas;Lanzarote;-;_U
359;G76789130;FUNDACIÓN CANARIA ÁNGEL LUIS PRIETO VILLALBA;Registrada con actividad;SOCIALES;Calle C/ San Sebastian nº 65, 1º-D;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;victorbaubarr@gmail.com
99;G35500396;"FUNDACION CANARIA  ""ESCCRI""";Sin actividad;EDUCATIVAS;Calle C/ Diego A. Montaude, nº 7;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
64;G38357117;FUNDACIÓN CANARIA MÉDICOS DE TENERIFE;Registrada con actividad;CIENTÍFICAS;Calle C/ Horacio Nelson, nº 17;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;https://medicostenerife.es/corporativo/fundacion-fcmt/;fundacionmed@cmtf.es
399;G44689545;DELEGACIÓN EXTRANJERA EN  CANARIAS DE LA FUNDACIÓN ROUTE 66;Registrada con actividad;EDUCATIVAS;Calle Domicilio de la Delegación: Calle Arteara, Nº 17, 35108, de San Bartolomé de Tirajana, Las Palmas.;San Bartolomé de Tirajana;Las Palmas;Gran Canaria;-;mpraxedes@hotmail.com
238;_U;FUNDACION CANARIA AMIGOS DE CABO VERDE ALMILCAR CABRAL;Sin actividad;BENÉFICAS;Calle C/. Munguía, nº 11, bajo, local 2/4;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
91;G35353535;FUNDACION CANARIA PARA EL DESARROLLO E IMPULSO DE LAS CIENCIAS AGRARIAS EN CANARIAS (FUNDESIMCA);Sin actividad;MEDIOAMBIENTALES;Calle C/ San Francisco, nº 9 - 2º B;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;panteresa@yahoo.es
307;G76599158;Fundación Canaria Gernot Huber;Registrada con actividad;CULTURALES;Calle c/ Las Hurtadas, nº 54, “Finca los Cardones”, San Isidro, Granadilla, Tenerife.;Granadilla de Abona;Santa Cruz de Tenerife;Tenerife;-;gernothuber@web.de
34;G35150119;FUNDACION CENTRO ASOCIADO DE LA UNED DE LANZAROTE;Registrada con actividad;EDUCATIVAS;Calle Blas Cabrera felipe, nº 1;Arrecife;Las Palmas;Lanzarote;https://www.unedlanzarote.es/;info@lanzarote.uned.es
403;G56304397;EUROPEAN SOLAR TELESCOPE FUNDACIÓN CANARIA;Registrada con actividad;INVESTIGACIÓN;Calle Calle Vía Láctea, s/n, código postal 38205, San Cristóbal de la Laguna, Tenerife.;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;jburgos@iac.es  HECTOR SOCAS (672096144 - DIRECTOR)
117;G38534483;"FUNDACION CANARIA ""ASHOTEL PARA LA FORMACION Y EL EMPLEO""";Registrada con actividad;LABORAL;Calle Avda. Veinticinco de Julio, núm. 37 - 1º Izquierda;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;santiago.delarosa@ashotel.es
265;G76009976;FUNDACIÓN  CANARIA  EMALSA;Registrada con actividad;MEDIOAMBIENTALES;Avenida Avda. Juan Carlos I,  nº 29, Edificio Las Ramblas, Planta 2ª A;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://emalsa.es/quienes-somos/fundacion-canaria/;gestiondecobros@emalsa.es  1348@icalpa
315;G76208396;FUNDACIÓN CANARIA INSTITUTO DE INVESTIGACIÓN SANITARIA DE CANARIAS (FCIISC);Registrada con actividad;CIENTÍFICAS;Calle  Bco la Ballena s/n edif.anexo Dr.Negrin 35010;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;Gerente: Yeray Suárez Álamo (ysuarez@funcanis.org) Asesores:mgomez@funcanis.org  ysuarez@func
266;G76007434;FUNDACION CANARIA UMIAYA PARA LA ATENCION DE LA MUERTE SUBITA;Registrada con actividad;SOCIALES;Calle Centro Cultural El Tablero, C/. Venezuela, s/n, El Tablero de Maspalomas;San Bartolomé de Tirajana;Las Palmas;Gran Canaria;https://fundacionumiaya.com/;_U
20;_U;"FUNDACION CANARIA ""CENTRO DE DOCUMENTACION E INVESTIGACION DE LA ARTESANIA DE ESPAÑA Y AMERICA""";Extinguida;CULTURALES;Calle C/. Tomás Zerolo, 34.;La Orotava;Santa Cruz de Tenerife;Tenerife;-;_U
9;G35110808;FUNDACIÓN CANARIA ATLANTIC  SCHOOL;Registrada con actividad;EDUCATIVAS;Calle C/ Bebedero, s/n - Monte Lentiscal//  c/ Gustava J. Navarro Nieto nº 23 35310 Sta. Brígida;Santa Brígida;Las Palmas;Gran Canaria;https://atlanticschools.net/;gerencia@atlanticschools.net
143;G38595831;FUNDACION CANARIA FAMILIA QUESADA SANCHEZ;Registrada con actividad;BENÉFICAS;Calle  c/ Sebastián Machado nº 44;Tacoronte;Santa Cruz de Tenerife;Tenerife;-;ELISEOPEREZLARA@HOTMAIL.COM
418;G000000;FUNDACIÓN CANARIA GRUPO TILP;Registrada con actividad;OTRAS;Avenida Los Indianos n.º 14 bajo;Santa Cruz de La Palma;Santa Cruz de Tenerife;La Palma;-;_U
261;G35997899;FUNDACION CANARIA NESTOR ALAMO;Registrada con actividad;CULTURALES;Calle c/. San José, nº 7;Santa María de Guía;Las Palmas;Gran Canaria;https://santamariadeguia.es/fundacion-canaria-nestor-alamo/;info@museonestoralamo.es
